Page ID,Page name,Disclaimer,Amount spent (MXN)
111493497446745,Sondeo Ciudadano MX,These ads ran without a disclaimer,3148
171494803269262,Noticias México,euthenics,893
1444189109132895,Rigo Mares,Jr. Mares,498
424354117897066,Noticias En El Punto,Noticias en el Punto,435
923633637651202,Morena Sí,Morena Sí,317
1333701376650032,Que siga López,Que siga Lopez,284
1297159123630144,Ulises Ruiz Ortiz,Ulises Ernesto Ruiz Ortiz,238
1424057367811413,Ipas México,Neuma MX,188
800053706697232,Lupita Saldaña,Lupita Saldaña,188
254852601222832,CEMEX México,CEMEX México,168
101435299357501,Con Adán Sí,Con Adan Si,162
123842270960929,Walmart de México y Centroamérica,Nueva Walmart de México SRL de CV,149
1613868898897076,Waldo Fernández González,Waldo Fernández González,≤100
107513668696274,Gestoría Social Para El Bienestar 12,Luis Felipe Benitez Gomez,≤100
1415863341806268,DMC - Music Center,CENTRO DE ENCUENTRO ARTÍSTICO DMC A.C.,≤100
187575292021954,El Rincón Político,El Rincón Político,≤100
48966795116,Amnistía Internacional México,Amnistía Internacional México,≤100
695113350546657,Promoción Ciudad de México,SOME MARKETING,≤100
109634395756375,Save the Children México,Save the Children México,≤100
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,≤100
1545555582174942,TResearch,TResearch,≤100
102065768985518,Siempre es Noticia,Siempre es Noticia,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,≤100
1810147899268622,PT Baja California Sur,Partido del Trabajo Baja California Sur,≤100
109312438635466,Cruzada Morenista,cruzadamorenista.com,≤100
56713285274,Greenpeace México,Greenpeace México,≤100
583421478788945,Tendiendo Puentes,Tendiendo Puentes,≤100
2244971795773309,El Metichon,EMT Noticias,≤100
105624182802445,NMás,Martha Lucia Simone Ramirez,≤100
239726076054918,Partido del Trabajo México,Partido del Trabajo México,≤100
114024430364416,YoXmx,Yoxmex,≤100
133478060111915,CEMEX Impacto Social,CEMEX Negocio Responsable,≤100
111300295094359,Baja Sur piel morena,BCS de piel morena,≤100
174058432636166,El Deforma,El Deforma,≤100
103821621408670,Programa en el Gobierno Mexicano Independiente,Edith Martinez Orta,≤100
361036630742937,La Política Online MX,La Política Online MX,≤100
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,≤100
148709191834718,Alcaldes de México,Alcaldes de México,≤100
107511518695730,Fuera prianistas de la CDMX,Fuera prianistas de la CDMX,≤100
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100
109752078573994,Transformando México,Transformando a México,≤100
105533795460071,Norte Monrealista,Norte Monrealista,≤100
124631600949535,Yo Influyo,Yoxmex,≤100
102713462642162,Campeche con la 4T,campecheconla4t.com,≤100
109697971929647,Paraíso Morenista,paraisomorenista.com,≤100
189131335143204,"Soy Mexicano, Soy Derecho",Soy Mexicano Soy Derecho,≤100
110788828491768,Morenxs en Morelos,Morenxs en Morelos,≤100
387796290649,GNP Seguros,GNP Seguros,≤100
1452189031676518,Hyundai México,HYUNDAI MEXICO,≤100
111062598459946,Equidad y liderazgo,equidadyliderazgo.com,≤100
1515259965437204,Marina Del Pilar,Marina Del Pilar,≤100
333934290548728,Los Círculos Rojos,Circulos Rojos,≤100
688172781386207,Azael Santiago Chepi,Azael Santiago Chepi,≤100
103290404864989,Beneficios Nacionales de Gobierno,Edith Martinez Orta,≤100
102156692699308,Sembrando el cambio,Sembrando el Cambio S.a de C.v,≤100
283653271758441,24 Morelos,24 CDMX,≤100
445313688987004,Rosa Elena Trujillo Llanes,Rosa Elena Trujillo Llanes Diputada Local,≤100
458859544909547,DICES,DICES,≤100
1095948597209125,Grupo Financiero Banorte,Banco Mercantil del Norte,≤100
633007690102039,Gustavo de Hoyos Walther,Gustavo de Hoyos Walther,≤100
309936002983802,Hagámoslo Viral,Viral Todo,≤100
105409857986465,Programas Financieros para el Gobierno Mexicano y Beneficios,Edith Martinez Orta,≤100
105848177845789,All Out en español,All Out,≤100
264773293005,Marko Cortés,Marko Cortés,≤100
111286221769950,El cambio llegó,El cambio llegó,≤100
248970878493624,Pulso Ciudadano,Pulso Ciudadano,≤100
102173595902098,Convocatorias 2023,Convocatorias 2023,≤100
52061777022,Querétaro.Travel,SOME MARKETING,≤100
108323052052660,Noticias Nacionales,Noticias Nacionales,≤100
233652128065243,Goberna México,Goberna,≤100
147751821930575,Salud Digital Fundación Carlos Slim,Fundación Carlos Slim,≤100
1724003164500887,Daylín García Ruvalcaba,Daylin García Ruvalcaba,≤100
434473639950078,Museo Iconográfico del Quijote,Ads Project Media,≤100
139551722754346,Asomarte,SOME CONTENT MARKETING,≤100
224725504745481,Sí en Querétaro,SOME CONTENT MARKETING,≤100
138054849601176,Unión Europea en México,Delegación de la Unión Europea en México,≤100
109228437096500,Gabriel García Hernández,Gabriel García Hernandez,≤100
101696231925216,Olmeca Multimedios Mx,Olmeca Multimedios,≤100
254852601222832,CEMEX México,These ads ran without a disclaimer,≤100
102931335827610,Fans de Jorge Romero - Georgemanía,Georgemanía,≤100
156562731088277,"Equidad de Género, Ciudadanía, Trabajo y Familia","Equidad de Género, Ciudadanía, Trabajo y Familia",≤100
101075891834695,El Grito de México,El Grito de México,≤100
116437828394342,Phiten Mexico,Phiten Mexico,≤100
961310490582166,FeliFer Macías,Felipe Macías,≤100
322632628342690,Secretaría de Turismo del Estado de Querétaro,SOME MARKETING,≤100
279469625434543,Paco Cienfuegos,Paco Cienfuegos,≤100
108276755314662,Portal Ciudadano de la Cámara de Diputados,Edwin Octavio Nazar Coronado,≤100
1074652842600588,Mejor México,These ads ran without a disclaimer,≤100
257333027729841,Julieta Ramírez,Julieta Ramirez,≤100
1415691342026378,Fundación Carlos Slim,Fundación Carlos Slim,≤100
219168613441556,Abogados México,Jose Miguel Ramirez Valenzuela,≤100
320349101760473,Inboplast A.C.,Inboplast A.C.,≤100
277380886249639,ExxonMobil México,"ExxonMobil México, S. A. de C. V.",≤100
1906429816285166,Género y Política PRD Tv web,Arturo Garcia Garduño,≤100
1408474549421296,Innovación Educativa del Tecnológico de Monterrey,Tecnológico de Monterrey,≤100
251441461671918,Igualdad Animal México,Respeto e Igualdad Animal A.C.,≤100
108819392526809,Partido Acción Nacional,Partido Acción Nacional,≤100
707874865918912,ADN Alternativa Democrática Nacional,Canek Ortega Cano,≤100
101204342089098,Diana Karina Barreras,Diana Karina Barreras,≤100
1469878613076562,Veolia Mx,These ads ran without a disclaimer,≤100
509821702820171,24 Horas Quintana Roo,24 Horas Quintana Roo,≤100
195400400486017,Antena San Luis,Antena San Luis S de RL de CV,≤100
104198335842437,Preparatoria SEP Virtual,UNIDEV Universidad SC,≤100
1985095215139869,Alejandro Carvajal,Alejandro Carvajal,≤100
354326078079338,Campaigns and Elections Mexico,Mario Alberto Rivera Lagarreta,≤100
